platform,source_id,title,fetch_ok,http_status,n_text,n_image,emitted,missing,extra,bad_scheme,error
african_storybook,10196,Narrow Escape,True,200,8,9,8,0,1,0,
african_storybook,10198,A Wise Crow,True,200,7,8,7,0,1,0,
african_storybook,10201,Lion and Warthog,True,200,16,17,16,0,1,0,
african_storybook,10261,Weather,True,200,6,7,6,0,1,0,
african_storybook,10271,Samba's New Shirt,True,200,8,9,8,0,1,0,
african_storybook,10427,What Do You See?,True,200,7,9,7,0,2,0,
african_storybook,10455,Elephant and Chameleon,True,200,8,9,8,0,1,0,
african_storybook,10460,Animals Dig a Well,True,200,14,14,14,0,0,0,
african_storybook,10852,Little Bird,True,200,10,11,10,0,1,0,
african_storybook,12412,My New Friends,True,200,16,17,16,0,1,0,
african_storybook,13306,Funny Story,True,200,6,7,6,0,1,0,
african_storybook,13527,Sherry In the Market,True,200,10,11,10,0,1,0,
african_storybook,13624,Rooster and Leopard,True,200,12,13,12,0,1,0,
african_storybook,13627,Tom the banana seller,True,200,12,13,12,0,1,0,
african_storybook,13935,Pumpkins?,True,200,12,13,12,0,1,0,
african_storybook,14088,Mama's Garden,True,200,6,7,6,0,1,0,
african_storybook,14293,"Billy, the Stubborn Goat",True,200,5,5,5,0,0,0,
african_storybook,14309,My Holiday,True,200,10,11,10,0,1,0,
african_storybook,14393,"Danny, the Boy",True,200,10,11,10,0,1,0,
african_storybook,14514,I Colour In,True,200,10,13,10,0,3,0,
african_storybook,14534,I Can Do This!,True,200,9,13,9,0,4,0,
african_storybook,14836,Mother Changes,True,200,12,13,12,0,1,0,
african_storybook,14917,I Like Trees,True,200,9,13,9,0,4,0,
african_storybook,14930,Magic Baby,True,200,15,16,15,0,1,0,
african_storybook,14934,Dance Contest,True,200,9,13,9,0,4,0,
african_storybook,14951,"Tick-Tock, Tick-Tock...",True,200,9,13,9,0,4,0,
african_storybook,14952,I Know How to Draw!,True,200,9,13,9,0,4,0,
african_storybook,14953,Piu...piu...piu,True,200,9,13,9,0,4,0,
african_storybook,15055,Wind,True,200,12,13,12,0,1,0,
african_storybook,15093,Elephant's Nose,True,200,16,17,16,0,1,0,
african_storybook,15394,The Lazy Cheptoo,True,200,6,7,6,0,1,0,
african_storybook,15410,My Brother Ken,True,200,10,11,10,0,1,0,
african_storybook,15575,I Enjoy Doing,True,200,8,9,8,0,1,0,
african_storybook,15750,The Friend at Night,True,200,5,6,5,0,1,0,
african_storybook,15838,The Rich Fool,True,200,13,14,13,0,1,0,
african_storybook,15972,Neo Finds Her Pig,True,200,8,9,8,0,1,0,
african_storybook,16120,This is Norah,True,200,8,9,8,0,1,0,
african_storybook,16193,Mrs Rubandama the Tailor,True,200,10,11,10,0,1,0,
african_storybook,16245,The Sower,True,200,9,10,9,0,1,0,
african_storybook,16483,Sidney's Dream,True,200,10,11,10,0,1,0,
african_storybook,16510,Share It Fair!,True,200,15,17,15,0,2,0,
african_storybook,16631,"Feet, Hands and Head!",True,200,9,10,9,0,1,0,
african_storybook,17648,Rat King's Son,True,200,16,17,16,0,1,0,
african_storybook,18240,Wishes and Two Left Feet.,True,200,4,4,4,0,0,0,
african_storybook,18420,Two Little Friends,True,200,12,13,12,0,1,0,
african_storybook,18773,Two Thieves,True,200,8,9,8,0,1,0,
african_storybook,1880,Nozibele and the three hairs,True,200,13,14,13,0,1,0,
african_storybook,18892,The Lady In Orange,True,200,12,13,12,0,1,0,
african_storybook,19100,Honourable Father,True,200,10,11,10,0,1,0,
african_storybook,19194,"Hyena, Hare And Their Basins",True,200,8,9,8,0,1,0,
african_storybook,19260,Eagle's Needle,True,200,8,7,7,1,0,0,
african_storybook,1938,Anansi and wisdom,True,200,6,7,6,0,1,0,
african_storybook,19414,Clever Brother,True,200,12,13,12,0,1,0,
african_storybook,19421,Counting Cabbages,True,200,15,17,15,0,2,0,
african_storybook,19467,Creature With Two,True,200,12,13,12,0,1,0,
african_storybook,19470,Pig That Wouldn't Listen,True,200,12,13,12,0,1,0,
african_storybook,19474,Look For The Gold,True,200,12,12,12,0,0,0,
african_storybook,19752,Beloved Daughter,True,200,12,13,12,0,1,0,
african_storybook,19761,Which Work Is The Most Important?,True,200,8,9,8,0,1,0,
african_storybook,19762,Frog And Snake,True,200,16,17,16,0,1,0,
african_storybook,19766,How the Toad Got Its Skin,True,200,12,13,12,0,1,0,
african_storybook,19767,Monkey and the Drought,True,200,16,17,16,0,1,0,
