new_title,new_source_id,new_author,new_level,matched_existing_title,matched_existing_source_platform,matched_existing_author,classification,match_scope
I Can Climb,2babed54-3cab-489a-a8c5-a4d22d062eb6,Deval Maniar,2,I Can Climb!,gdl,StoryWeaver,false-positive,db
What type of teeth?,30669502-5a84-4785-ae6c-b40102a09901,,2,What type of teeth?,bloom,,unknown(author-missing),db
Parts of the face,37b0298e-c6e8-42bc-a4a7-74db71d4a28a,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
Back to School,f2aef310-67b4-4e11-958b-92a32db33105,various,1,Back to School,bloom,various,true-dup,db
One Two Three,dc5d3ecf-24d5-4b4a-a34a-d85b9276ca33,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Luwo's House,20072a66-565e-4972-8fe4-1a14b629a8ba,Jacob Matthess,2,Luwo's House,african_storybook,Little Zebra Books,false-positive,db
Egg,09347bf9-2dbf-455a-be80-d49939cc933d,Megan Vermaak,1,Egg,book_dash,Mirna Lawrence,false-positive,db
Colours of Nature,1b7a882c-9de5-49e5-af0a-007b7d315d3c,Bulbul Sharma,2,Colours of nature,gdl,,unknown(author-missing),db
Egg,8c93fdec-83d0-4478-a7e4-a4f827460783,Megan Vermaak,1,Egg,book_dash,Mirna Lawrence,false-positive,db
Colours of a Rainbow,8b4422c7-2558-4aa2-a551-1cf7366e343c,,2,Colours of a Rainbow,african_storybook,Caren Echesa,unknown(author-missing),db
"Animals, Animals",6aeee620-14f3-4d0b-9647-10e88b0a5c6b,"Sandy Campbell, Wiehan de Jager and Rob Owen",2,"Animals, Animals",african_storybook,Tabingwa Aisha,false-positive,db
My Best Friend,4179a7bb-9e6e-4637-a153-33fd8e38101d,Suvidha Mistry,2,My best friend,gdl,,unknown(author-missing),db
One Two Three,753cb415-a508-41ed-9239-54c38c857550,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Luwo’s House,7c16e74a-730b-4d31-abf7-35ea00368372,Jacob Matthess,2,Luwo's House,african_storybook,Little Zebra Books,false-positive,db
Where is My Mother?,09c4a597-de75-4eaa-b1d3-d751d93fc82f,R. C. Pradeep Kumar,2,Where is My Mother?,gdl,StoryWeaver,false-positive,db
पाठा र म,75dd8207-6531-46f1-9267-295f02a87107,,2,पाठा र म,bloom(batch),,unknown(author-missing),batch
"One, Two, Three",0fbc58d6-44a4-4061-89b2-0d9b9139ccf6,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Where Is It?,0d09114a-c342-4952-aa74-4f32e4355b85,Magriet Brink & Leo Daly,1,Where Is It?,bloom,Magriet Brink & Leo Daly,true-dup,db
Aaloo-Maaloo-Kaaloo,a6372358-e984-4c17-8bdf-f1d7ff8db4a6,Suvidha Mistry,2,Aaloo-Maaloo-Kaaloo,gdl,StoryWeaver,false-positive,db
Is There Anyone Like Me?,5e863c6c-5465-4ee2-be82-b124ceffc653,Jess Jardim-Wedepohl,2,Is There Anyone Like Me?,book_dash,"Fred Strydom, Jess Jardim-Wedepohl, Stephen Wallace",true-dup,db
ಕಿಪ್ಪ್ ಬಾಳ್‌ಮಾ ತೀಪಾಂಗಿ ಮಾಡ್ ನಾರಾಯ್ನ್ ಸಂಗ್‌ಲೂ ಕಾಯ್ರಿಗ್‌,ce52b15b-8cfd-4035-993c-2e631bc656d0,,1,ಕಿಪ್ಪ್ ಬಾಳ್‌ಮಾ ತೀಪಾಂಗಿ ಮಾಡ್ ನಾರಾಯ್ನ್ ಸಂಗ್‌ಲೂ ಕಾಯ್ರಿಗ್‌,bloom(batch),,unknown(author-missing),batch
Parts of the Body,c01a0f90-4256-4741-b241-9bed25b9e807,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
Small Bird's BIG Adventure,f434f1f2-d9d6-4ce3-bd52-716faee82a65,Wesley van Eeden,2,Small Bird’s Big Adventure,book_dash,Nick Mulgrew,false-positive,db
I Can Climb,f68aca31-390f-49a3-a370-d372f0f2edc1,Deval Maniar,2,I Can Climb!,gdl,StoryWeaver,false-positive,db
The Moon and the Cap,9428deff-5ad7-44cc-8a69-68f6aa95e492,Angie and Upesh,1,The Moon and the Cap,gdl,,unknown(author-missing),db
Big Blue Bus,ef4e80d6-2389-4f21-9a5e-a93378c77a86,Mango Tree,2,Big Blue Bus,african_storybook,Mecelin Kakoro,false-positive,db
Parts of the Face,18a3f21c-ec47-437b-852b-557305db5246,Sue Beattie,1,Parts of the Face,bloom(batch),Sue Beattie,true-dup,batch
मेरो आमा,0580e6b1-12ea-4688-be8f-b18ac613526b,,1,मेरो आमा,bloom(batch),,unknown(author-missing),batch
Wild Animals,dcc7f4d6-7675-4e1b-a5dd-dec93882e48d,Marleen Visser,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
I Feel,ab74a1a1-c288-4da3-9c72-ef18e98db782,Craig Aldred modified by Elizabeth Carlson 2022,1,I Feel,bloom,Craig Aldred,true-dup,db
Wild Animals,5d93f29d-2e0b-4e8c-ae26-34ab516845b6,Mbange Ernest Bawe,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
Pehelwaan Ji,84768a7a-a212-451f-9aeb-876bd44e854f,Ajit Narayan,2,Pehelwaan Ji,gdl,StoryWeaver,false-positive,db
True friends,59faeb10-7773-4e68-9579-664f37737f23,Shailja Jain Chougule,2,True Friends,african_storybook,Maria Timothy and Aisha Aliyu,false-positive,db
Wild Animals,9c43a369-c449-48be-ad35-d576a1f250d5,Yathin Krishnappa,1,Wild Animals,bloom,Yathin Krishnappa,true-dup,db
The Moon And The Cap,df5a75f1-f550-4178-a8df-56bd09959165,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Colours of a Rainbow,9594e235-799a-46a9-b0af-ce9fea09ccb1,African Storybook Initiative,2,Colours of a Rainbow,african_storybook,Caren Echesa,false-positive,db
Farm Animals,2042d454-8c3f-46fd-9006-e7db83d58afc,Marleen Visser,1,Farm Animals,bloom,Marleen Visser,true-dup,db
The Moon and the Cap,e509af93-9f5f-43d7-9c66-154065832336,Angie and Upesh,1,The Moon and the Cap,gdl,,unknown(author-missing),db
One Two Three,857b995d-e9ec-466c-b7eb-4e8972307ea9,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Look in the sky. What do you see?,855bec65-691d-47db-9993-c01bc05b81b4,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
One Two Three,e0594fd4-1ada-4b3f-8083-0b7ca5b08ee0,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
One Two Three,95cdfdb2-72a8-4278-8fd5-6b9b6909fe46,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
मलाई पढ्‌न मन पर्छ,be2bfbac-5b48-43d9-82f1-3bec389545a9,Wiehan de Jager,1,मलाई पढ्‌न मन पर्छ,bloom(batch),,unknown(author-missing),batch
Look in the sky. What do you see?,a842b359-22cb-4275-8ac3-c1d72d352ca2,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
​What Are They Doing?,fa6f0914-1d0b-4dc9-aec6-864268d897fe,N.D. Mazin,1,What Are They Doing?,bloom(batch),N.D. Mazin,true-dup,batch
A Trip to the Tap,29032d37-5401-45e1-9de7-d7992af7f39b,Phumle April,2,A trip to the tap,book_dash,Sindeka Mandoyi,false-positive,db
Agama Lizard,e5418879-8cbe-467e-962d-748edfff1da5,AUN EWP,2,AGAMA LIZARD,bloom(batch),Gordon Martin,false-positive,batch
