group_no,id,source_platform,title,처리,근거
1,1eed0fae-6362-4dc3-aea1-1f51047bf373,african_storybook,A Dog,비활성화,그룹 1 중복 (유지판: 740f1ba1-dec9-400e-9796-8effc7c64e7b)
1,740f1ba1-dec9-400e-9796-8effc7c64e7b,bloom,A dog,유지,③ 표지 해상도 최대 / 비-GDL 복수 / 해상도 358801
1,ef3c71df-1028-4e3e-a3d4-ac74ff65f29b,african_storybook,Papa's  Dog,비활성화,그룹 1 중복 (유지판: 740f1ba1-dec9-400e-9796-8effc7c64e7b)
1,e4406029-931e-4ddc-938f-da5dcadc9782,african_storybook,Sami My Playful dog,비활성화,그룹 1 중복 (유지판: 740f1ba1-dec9-400e-9796-8effc7c64e7b)
2,9c9d46f8-9223-432c-b7f4-1042c7dca4f4,african_storybook,Aria,비활성화,그룹 2 중복 (유지판: 0d8ea52c-b744-446a-85d8-764453cd35ed)
2,8a91d89f-7642-4798-b23f-33dc9a3f91e5,african_storybook,I know colors,비활성화,그룹 2 중복 (유지판: 0d8ea52c-b744-446a-85d8-764453cd35ed)
2,0d8ea52c-b744-446a-85d8-764453cd35ed,african_storybook,My Body,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 3권 / id 최소
2,e6c80444-0a2e-4be2-8e20-12d190e65d93,gdl,My Body,비활성화,그룹 2 중복 (유지판: 0d8ea52c-b744-446a-85d8-764453cd35ed)
3,3ddac66b-b30e-439c-a620-22ebd4553c04,african_storybook,Colours,비활성화,그룹 3 중복 (유지판: 8bd2abc7-78fa-4834-82e1-3f3d70122838)
3,8bd2abc7-78fa-4834-82e1-3f3d70122838,bloom,Colours,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 2권 / id 최소
3,e085a251-6694-470a-a2ae-9b5e5a12785b,gdl,Colours,비활성화,그룹 3 중복 (유지판: 8bd2abc7-78fa-4834-82e1-3f3d70122838)
3,e395f1f4-9a6a-4be6-bf47-c73673c663c2,bloom,Colours,비활성화,그룹 3 중복 (유지판: 8bd2abc7-78fa-4834-82e1-3f3d70122838)
4,00e0a3f0-b772-49f4-abed-e61bcd21540d,bloom,The Moon and the Cap,유지,③ 표지 해상도 최대 / 비-GDL 복수 / 해상도 627120
4,bf60510a-e361-409b-a476-1a657db3dc31,gdl,The Moon and the Cap,비활성화,그룹 4 중복 (유지판: 00e0a3f0-b772-49f4-abed-e61bcd21540d)
4,d828a5e0-4950-4120-9cde-137d2e4dcaa7,african_storybook,The Moon and the Cap,비활성화,그룹 4 중복 (유지판: 00e0a3f0-b772-49f4-abed-e61bcd21540d)
4,f38a6ef5-54d6-42ef-bc3f-ab9f2a31be69,bloom,The Moon and the Hat,비활성화,그룹 4 중복 (유지판: 00e0a3f0-b772-49f4-abed-e61bcd21540d)
5,18c6ef40-7260-4aff-9db6-fb754c3437a5,african_storybook,Amazing Daisy,비활성화,그룹 5 중복 (유지판: c9885925-bd2c-41b1-8fd2-5ae7c7b3dd23)
5,c9885925-bd2c-41b1-8fd2-5ae7c7b3dd23,book_dash,Amazing Daisy,유지,① 오디오 보유 / 오디오 보유 단독
5,ff8469b1-adb1-443a-a042-b70aee14d440,african_storybook,Amazing Daisy,비활성화,그룹 5 중복 (유지판: c9885925-bd2c-41b1-8fd2-5ae7c7b3dd23)
6,18b88728-0b7c-43d7-8d49-ed243da56288,gdl,Bunty and Bubbly,비활성화,그룹 6 중복 (유지판: 3abddfc4-6979-49c1-a7db-1455503f8e2f)
6,3abddfc4-6979-49c1-a7db-1455503f8e2f,bloom,Bunty and Bubbly,유지,③ 표지 해상도 최대 / 비-GDL 복수 / 해상도 193200
6,c6c58313-07a8-4306-9a30-fdccbf787cb7,african_storybook,Bunty and Bubbly,비활성화,그룹 6 중복 (유지판: 3abddfc4-6979-49c1-a7db-1455503f8e2f)
7,82abae25-9cca-48bc-8b3b-7b56884282d2,african_storybook,Buttons,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 3권 / id 최소
7,b20df6b9-7b25-40cb-b789-b53a5fc14a23,african_storybook,Buttons,비활성화,그룹 7 중복 (유지판: 82abae25-9cca-48bc-8b3b-7b56884282d2)
7,d34eeba2-3bd1-4176-9e72-113a7534455f,african_storybook,Buttons,비활성화,그룹 7 중복 (유지판: 82abae25-9cca-48bc-8b3b-7b56884282d2)
8,906ddc10-0988-48ec-9fc0-181c1424a13a,african_storybook,Cats and mice,비활성화,그룹 8 중복 (유지판: 10adc09e-3e96-4572-be81-01a4861f6035)
8,9872489e-5daa-449e-b1ec-46c2ddbc795b,african_storybook,Cats and Mice,비활성화,그룹 8 중복 (유지판: 10adc09e-3e96-4572-be81-01a4861f6035)
8,10adc09e-3e96-4572-be81-01a4861f6035,african_storybook,Mice And Cats,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 3권 / id 최소
9,0fe8a424-f2f4-435c-8ee5-21f69a63892d,gdl,Counting Animals,비활성화,그룹 9 중복 (유지판: 668bce5b-cddc-44e2-849a-fce569c46317)
9,795db11e-7356-46cf-9d19-ab4df92b2c34,african_storybook,Counting animals,비활성화,그룹 9 중복 (유지판: 668bce5b-cddc-44e2-849a-fce569c46317)
9,668bce5b-cddc-44e2-849a-fce569c46317,african_storybook,Water for all,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 2권 / id 최소
10,6e5d6bd9-df15-42e8-9982-e9a11d486430,gdl,Donkey And Ox,비활성화,그룹 10 중복 (유지판: 65761e3a-0775-45e2-a570-0034615ce68a)
10,65761e3a-0775-45e2-a570-0034615ce68a,african_storybook,Ox and Donkey,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 2권 / id 최소
10,a7110831-8b45-482b-bfde-81c59866f597,african_storybook,Ox And Donkey,비활성화,그룹 10 중복 (유지판: 65761e3a-0775-45e2-a570-0034615ce68a)
11,1c5afcab-5897-426e-8c50-52d404a34739,gdl,Friends,비활성화,그룹 11 중복 (유지판: dbd27774-7646-4b77-b917-65762a835ff4)
11,85529f20-8864-4c62-b496-e7d53841d6b5,african_storybook,Friends,비활성화,그룹 11 중복 (유지판: dbd27774-7646-4b77-b917-65762a835ff4)
11,dbd27774-7646-4b77-b917-65762a835ff4,bloom,Friends,유지,③ 표지 해상도 최대 / 비-GDL 복수 / 해상도 358801
12,31d4ffd1-4bcf-4342-b65e-913eaf7350e5,african_storybook,How I got lost at the market,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 2권 / id 최소
12,4d2d47c9-6a75-418c-8cbc-667258945124,african_storybook,How I Got Lost At The Market,비활성화,그룹 12 중복 (유지판: 31d4ffd1-4bcf-4342-b65e-913eaf7350e5)
12,cf10cbb8-b0ed-4ad0-9fdf-09cebe1e6998,gdl,My First Day at the Market,비활성화,그룹 12 중복 (유지판: 31d4ffd1-4bcf-4342-b65e-913eaf7350e5)
13,4c887d97-7e3c-4d4f-b8da-30bdfd2b6f6b,bloom,I Can Climb,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 2권 / id 최소
13,2ecc2a7d-4cba-4fc6-8104-e2c6ee95ef69,gdl,I Can Climb!,비활성화,그룹 13 중복 (유지판: 4c887d97-7e3c-4d4f-b8da-30bdfd2b6f6b)
13,907a0e7d-ca68-4ab4-ab0b-5d660a7c7fed,bloom,In the Park,비활성화,그룹 13 중복 (유지판: 4c887d97-7e3c-4d4f-b8da-30bdfd2b6f6b)
14,4564a9e5-5c3f-44ac-b148-16cf387f8b54,gdl,I Like To Read,비활성화,그룹 14 중복 (유지판: b26b1acf-7631-411e-8fc7-576a74f59d57)
14,b26b1acf-7631-411e-8fc7-576a74f59d57,bloom,I like to read,유지,③ 표지 해상도 최대 / 비-GDL 복수 / 해상도 360000
14,da64f40e-4064-403b-991c-617cde610c88,african_storybook,I Love to Read,비활성화,그룹 14 중복 (유지판: b26b1acf-7631-411e-8fc7-576a74f59d57)
15,449b587b-4318-4884-8920-b9ceb4446406,gdl,Jobs,비활성화,그룹 15 중복 (유지판: 9a64e1eb-9b98-4061-90b5-dd814a218b4f)
15,5da2f92d-0c5d-4892-ba26-086af21c01c4,bloom,Jobs,비활성화,그룹 15 중복 (유지판: 9a64e1eb-9b98-4061-90b5-dd814a218b4f)
15,9a64e1eb-9b98-4061-90b5-dd814a218b4f,bloom,Jobs,유지,③ 표지 해상도 최대 / 비-GDL 복수 / 해상도 360000
16,e8a19292-9f04-47c5-ab1b-9b3038b8a0c9,african_storybook,Kariza's questions,비활성화,그룹 16 중복 (유지판: 83a228a2-ce33-494d-a6db-fa8c7a899f6d)
16,83a228a2-ce33-494d-a6db-fa8c7a899f6d,african_storybook,Step and wash!,유지,⑤ id 최소 / 비-GDL 복수 / 해상도 동률 3권 / id 최소
16,dbf4b6d9-099a-4c6e-8da9-71c453916b60,african_storybook,Step and wash!,비활성화,그룹 16 중복 (유지판: 83a228a2-ce33-494d-a6db-fa8c7a899f6d)
