group_no,matched_by,id,source_platform,title,cover_url,유지추천,추천근거
1,both,fd6bb133-a50d-4fd3-ae84-23b45bc38419,african_storybook,A Dancer's Tale: The Story of Phyllis Spira,https://africanstorybook.org/illustrations/covers/8815.png,,
1,both,02734256-6c7c-4762-98ed-39abdb492567,african_storybook,"Abebech, the female bajaj driver",https://africanstorybook.org/illustrations/covers/23862.png,,
1,both,1b77f024-7453-4fe9-8882-0294919a27ef,african_storybook,Is There Anyone Like Me?,https://africanstorybook.org/illustrations/covers/15363.png,,
1,both,83029b02-3c43-4984-9b1a-29097fce4cba,book_dash,Is There Anyone Like Me?,https://bookdash.github.io/bookdash-books/is-there-anyone-like-me/en/images/cover.jpg,Y,오디오 보유
1,both,7feb558c-8f7c-48dc-b85d-9600988ad197,african_storybook,Letter 'S' makes more,https://africanstorybook.org/illustrations/covers/35645.png,,
1,both,97f8e962-d3f8-4b3b-b4af-31770bf027d3,bloom,The day the Sun went away,https://s3.amazonaws.com/bloomharvest/okuukeremetbooks%40gmail.com%2f8cbf55b5-c0de-490c-84c4-d3dc73bf34cc%2fbloomdigital%2fASP_101_day_the_sun_went_away_0_Page_02_Image_0001.png,,
1,both,f7c754cf-047a-4fb9-ac3b-3601e1ca036c,african_storybook,The Day the Sun Went Away,https://africanstorybook.org/illustrations/covers/14771.png,,
1,both,72debae3-48eb-4f20-be54-c4933527c653,african_storybook,The Tree That Saved the Village of Ombalantu,https://africanstorybook.org/illustrations/covers/2716.png,,
1,both,b90ac900-6fb8-4f74-abd6-740956e31f99,african_storybook,The Tree That Saved the Village of Ombalantu,https://africanstorybook.org/illustrations/covers/2724.png,,
1,both,631f1d5e-ef4b-4ddc-862f-0620abdac6c8,african_storybook,Time,https://africanstorybook.org/illustrations/covers/31995.png,,
2,cover,c3c1b623-7747-48d5-9b31-9e53eb86c6e9,african_storybook,Amina The Super Girl,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35626.jpg,,팀장 판단
