group_no,matched_by,id,source_platform,title,cover_url,유지추천,추천근거,표지해상도(px),비고
1,both,1eed0fae-6362-4dc3-aea1-1f51047bf373,african_storybook,A Dog,https://africanstorybook.org/illustrations/covers/7792.png,,,38400,
1,both,740f1ba1-dec9-400e-9796-8effc7c64e7b,bloom,A dog,https://s3.amazonaws.com/bloomharvest/glauredarwindy%40gmail.com%2fc5ba08ff-c462-4d41-8e95-cf8686ec6313%2fbloomdigital%2fASP_311-A_dog_Page_2_Image_0001.png,Y,최대 해상도,358801,
1,both,ef3c71df-1028-4e3e-a3d4-ac74ff65f29b,african_storybook,Papa's  Dog,https://africanstorybook.org/illustrations/covers/13978.png,,,38400,
1,both,e4406029-931e-4ddc-938f-da5dcadc9782,african_storybook,Sami My Playful dog,https://africanstorybook.org/illustrations/covers/24593.png,,,38400,
2,both,9c9d46f8-9223-432c-b7f4-1042c7dca4f4,african_storybook,Aria,https://africanstorybook.org/illustrations/covers/35686.png,,,38400,
2,both,8a91d89f-7642-4798-b23f-33dc9a3f91e5,african_storybook,I know colors,https://africanstorybook.org/illustrations/covers/31431.png,,,38400,
2,both,0d8ea52c-b744-446a-85d8-764453cd35ed,african_storybook,My Body,https://africanstorybook.org/illustrations/covers/9882.png,,,38400,
2,both,e6c80444-0a2e-4be2-8e20-12d190e65d93,gdl,My Body,https://content.digitallibrary.io/wp-content/uploads/2023/04/35307-d05e2c60b94c428e076fbad0f2cc2778-coverImage.png,Y,최대 해상도,248832,
3,identical_file+cover+title,3ddac66b-b30e-439c-a620-22ebd4553c04,african_storybook,Colours,https://africanstorybook.org/illustrations/covers/1927.png,,,38400,
3,identical_file+cover+title,8bd2abc7-78fa-4834-82e1-3f3d70122838,bloom,Colours,https://s3.amazonaws.com/bloomharvest/cara_ediger%40sil-lead.org%2f86719656-00fb-416b-8482-793ccafe0364%2fbloomdigital%2fSWPB_95-colours-tell-me-now-series_Page_02_Image_0001.png,,,193200,
3,identical_file+cover+title,e085a251-6694-470a-a2ae-9b5e5a12785b,gdl,Colours,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201021025-7c82e3c3967af7cd0fc0bc6c6c18d468-50494d95575d7ac6c404812d38043fcd.jpg,Y,최대 해상도,440181,
3,identical_file+cover+title,e395f1f4-9a6a-4be6-bf47-c73673c663c2,bloom,Colours,https://s3.amazonaws.com/bloomharvest/ernest_nniakyire%40gillbt.org%2fab1aea58-e2e4-443b-80a1-bddff931eb33%2fbloomdigital%2fSWPB_95-colours-tell-me-now-series_Page_02_Image_0001.png,,,193200,
4,title,00e0a3f0-b772-49f4-abed-e61bcd21540d,bloom,The Moon and the Cap,https://s3.amazonaws.com/bloomharvest/M90GN2MBu9%2f1718622628843%2fbloomdigital%2fThe%20Moon%20and%20The%20Cap_Page%20021.jpg,Y,최대 해상도,627120,
4,title,bf60510a-e361-409b-a476-1a657db3dc31,gdl,The Moon and the Cap,https://content.digitallibrary.io/wp-content/uploads/2023/04/34927-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,,,157896,
4,title,d828a5e0-4950-4120-9cde-137d2e4dcaa7,african_storybook,The Moon and the Cap,https://africanstorybook.org/illustrations/covers/2154.png,,,38400,
4,title,f38a6ef5-54d6-42ef-bc3f-ab9f2a31be69,bloom,The Moon and the Hat,https://s3.amazonaws.com/bloomharvest/bethann_carlson%40sil.org%2f19b38c09-b63b-4e97-aa3e-e4834056ae8f%2fbloomdigital%2fThe%20Moon%20and%20The%20Cap_Cover.jpg,,,296400,
5,title,18c6ef40-7260-4aff-9db6-fb754c3437a5,african_storybook,Amazing Daisy,https://africanstorybook.org/illustrations/covers/15321.png,,,38400,
5,title,c9885925-bd2c-41b1-8fd2-5ae7c7b3dd23,book_dash,Amazing Daisy,https://bookdash.github.io/bookdash-books/amazing-daisy/en/images/cover.jpg,Y,오디오 보유,620944,
