slug,page_no,page_rotation,span_dirs,is_rotated
a-day-out,1,0,"1,0",0
a-day-out,2,0,,0
a-day-out,3,0,"1,0",0
a-day-out,4,0,,0
a-day-out,5,0,"1,0",0
a-day-out,6,0,"1,0",0
a-day-out,7,0,"1,0",0
a-day-out,8,0,"1,0",0
a-day-out,9,0,,0
a-day-out,10,0,,0
a-day-out,11,0,"1,0",0
a-day-out,12,0,"1,0",0
a-day-out,13,0,,0
a-day-out,14,0,,0
a-trip-to-the-tap,1,0,"1,0",0
a-trip-to-the-tap,2,0,"1,0",0
a-trip-to-the-tap,3,0,"1,0",0
a-trip-to-the-tap,4,0,"1,0",0
a-trip-to-the-tap,5,0,"1,0",0
a-trip-to-the-tap,6,0,"1,0",0
a-trip-to-the-tap,7,0,"1,0",0
a-trip-to-the-tap,8,0,"1,0",0
a-trip-to-the-tap,9,0,"1,0",0
a-trip-to-the-tap,10,0,"1,0",0
a-trip-to-the-tap,11,0,"1,0",0
a-trip-to-the-tap,12,0,"1,0",0
a-trip-to-the-tap,13,0,,0
a-trip-to-the-tap,14,0,,0
a-very-busy-day,1,0,"1,0",0
a-very-busy-day,2,0,"1,0",0
a-very-busy-day,3,0,"1,0",0
a-very-busy-day,4,0,"1,0",0
a-very-busy-day,5,0,"1,0",0
a-very-busy-day,6,0,"1,0",0
a-very-busy-day,7,0,"1,0",0
a-very-busy-day,8,0,,0
a-very-busy-day,9,0,"1,0",0
a-very-busy-day,10,0,"1,0",0
a-very-busy-day,11,0,"1,0",0
a-very-busy-day,12,0,"1,0",0
a-very-busy-day,13,0,,0
a-very-busy-day,14,0,,0
aaaaahhh-mmawe,1,0,"1,0",0
aaaaahhh-mmawe,2,0,"1,0;1,1",1
aaaaahhh-mmawe,3,0,"1,0",0
aaaaahhh-mmawe,4,0,"1,0",0
aaaaahhh-mmawe,5,0,"1,0;1,1",1
aaaaahhh-mmawe,6,0,"1,0",0
aaaaahhh-mmawe,7,0,"1,0",0
aaaaahhh-mmawe,8,0,"1,0;1,1",1
aaaaahhh-mmawe,9,0,"1,0",0
aaaaahhh-mmawe,10,0,"1,0",0
aaaaahhh-mmawe,11,0,"1,0;1,1",1
aaaaahhh-mmawe,12,0,"1,0",0
aaaaahhh-mmawe,13,0,,0
aaaaahhh-mmawe,14,0,,0
alexs-super-medicine,1,0,"1,0",0
alexs-super-medicine,2,0,"1,0",0
alexs-super-medicine,3,0,"1,0",0
alexs-super-medicine,4,0,"1,0",0
alexs-super-medicine,5,0,"1,0",0
alexs-super-medicine,6,0,"1,0",0
alexs-super-medicine,7,0,"1,0",0
alexs-super-medicine,8,0,"1,0",0
alexs-super-medicine,9,0,"1,0",0
alexs-super-medicine,10,0,"1,0",0
alexs-super-medicine,11,0,"1,0",0
alexs-super-medicine,12,0,"1,0",0
alexs-super-medicine,13,0,,0
alexs-super-medicine,14,0,,0
amahle-wants-to-help,1,0,"1,0",0
amahle-wants-to-help,2,0,"1,0",0
amahle-wants-to-help,3,0,"1,0",0
amahle-wants-to-help,4,0,"1,0",0
amahle-wants-to-help,5,0,"1,0",0
amahle-wants-to-help,6,0,"1,0",0
amahle-wants-to-help,7,0,"1,0",0
amahle-wants-to-help,8,0,"1,0",0
amahle-wants-to-help,9,0,"1,0",0
amahle-wants-to-help,10,0,"1,0",0
amahle-wants-to-help,11,0,"1,0",0
amahle-wants-to-help,12,0,"1,0",0
amahle-wants-to-help,13,0,,0
amahle-wants-to-help,14,0,,0
and-also,1,0,"1,0",0
and-also,2,0,"1,0",0
and-also,3,0,"1,0",0
and-also,4,0,"1,0",0
and-also,5,0,"1,0",0
and-also,6,0,"1,0",0
and-also,7,0,"1,0",0
and-also,8,0,"1,0",0
and-also,9,0,"1,0",0
and-also,10,0,"1,0",0
and-also,11,0,,0
and-also,12,0,"1,0",0
and-also,13,0,,0
and-also,14,0,,0
ann-nem-oh-nee-finds-adventure,1,0,"1,0",0
ann-nem-oh-nee-finds-adventure,2,0,"1,0",0
ann-nem-oh-nee-finds-adventure,3,0,"1,0",0
ann-nem-oh-nee-finds-adventure,4,0,"1,0",0
ann-nem-oh-nee-finds-adventure,5,0,"1,0",0
ann-nem-oh-nee-finds-adventure,6,0,"1,0",0
ann-nem-oh-nee-finds-adventure,7,0,"1,0",0
ann-nem-oh-nee-finds-adventure,8,0,"1,0",0
ann-nem-oh-nee-finds-adventure,9,0,"1,0",0
ann-nem-oh-nee-finds-adventure,10,0,"1,0",0
