book_id,platform,source_id,title,http_status,fetch_ok,n_text,n_image,axis_match,axis_diff,empty_pages,chars_raw,chars_billable,max_page_chars,p_numbers_contiguous,p_min,p_max,mojibake_suspect,error,flags,content_url
63bccd1b-5d78-4b06-989c-2418886fc5e4,african_storybook,10196,Narrow Escape,200,True,8,9,False,-1,0,709,703,159,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10196.txt
465a22d8-7fa8-4346-87e2-014660cd910a,african_storybook,10198,A Wise Crow,200,True,7,8,False,-1,0,634,634,132,True,1,7,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10198.txt
1e816c50-6bef-4274-b4e1-cabe14d8c2e2,african_storybook,10201,Lion and Warthog,200,True,16,17,False,-1,0,3796,3791,314,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10201.txt
0cb8c332-8f0e-4eac-95ef-c6cc650ceb6c,african_storybook,10261,Weather,200,True,6,7,False,-1,0,189,190,48,True,1,6,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10261.txt
a5da9cd5-442b-46b3-9f80-4959791fdefe,african_storybook,10271,Samba's New Shirt,200,True,8,9,False,-1,0,595,594,119,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10271.txt
f5788a11-d72d-4c4a-93fa-9af08b75729d,african_storybook,10427,What Do You See?,200,True,7,9,False,-2,0,427,424,92,True,1,7,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10427.txt
02da06c9-06b5-4459-9644-008c1f33dc60,african_storybook,10455,Elephant and Chameleon,200,True,8,9,False,-1,0,1020,1014,184,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10455.txt
688b436d-3d76-4808-a797-714a3ee53ec5,african_storybook,10852,Little Bird,200,True,10,11,False,-1,0,3389,3362,583,True,1,10,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/10852.txt
944f6217-90a2-402e-b4ac-3502df681a44,african_storybook,12412,My New Friends,200,True,16,17,False,-1,0,416,413,39,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/12412.txt
ca3a59d1-506f-4bca-ab2c-84c5eaffa344,african_storybook,13306,Funny Story,200,True,6,7,False,-1,0,600,597,144,True,1,6,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/13306.txt
00abd228-a6ef-489e-bf45-5774f4022194,african_storybook,13527,Sherry In the Market,200,True,10,11,False,-1,0,251,251,38,True,1,10,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/13527.txt
2765ec8c-6a58-4351-956d-c7b64b971f28,african_storybook,13624,Rooster and Leopard,200,True,12,13,False,-1,0,1412,1407,156,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/13624.txt
035425ec-7203-4a78-9987-0197caeaaf8e,african_storybook,13627,Tom the banana seller,200,True,12,13,False,-1,0,721,718,98,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/13627.txt
54059ca0-6e7a-43e6-8c38-feaa419d2267,african_storybook,13935,Pumpkins?,200,True,12,13,False,-1,0,1571,1555,232,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/13935.txt
4a83c5cd-8da0-4f82-8749-7e9b46e1e027,african_storybook,14088,Mama's Garden,200,True,6,7,False,-1,0,565,565,111,True,1,6,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14088.txt
57c5d40a-031c-4f55-8087-d2d0f24e0ac2,african_storybook,14309,My Holiday,200,True,10,11,False,-1,0,1515,1515,220,True,1,10,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14309.txt
2f19683b-94ef-45bb-b86d-d01f3c6fda69,african_storybook,14393,"Danny, the Boy",200,True,10,11,False,-1,0,1763,1761,309,True,1,10,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14393.txt
6d429add-f471-49f7-a6bd-cb457a072e9b,african_storybook,14514,I Colour In,200,True,10,13,False,-3,0,390,390,55,True,1,10,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14514.txt
82226570-491d-4da8-9aa2-7d4052f94b4f,african_storybook,14534,I Can Do This!,200,True,9,13,False,-4,0,783,778,102,True,1,9,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14534.txt
e2d56cb4-34cb-42f0-b8e5-0a8fd1f2e9a2,african_storybook,14836,Mother Changes,200,True,12,13,False,-1,0,485,480,60,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14836.txt
53f0c438-928c-40ab-810f-8f876bbde58f,african_storybook,14917,I Like Trees,200,True,9,13,False,-4,0,2185,2170,316,True,1,9,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14917.txt
e0c766ea-c05f-4d14-9270-c19d92a39a21,african_storybook,14930,Magic Baby,200,True,15,16,False,-1,0,1756,1741,165,True,1,15,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14930.txt
65cc0e2d-cb0a-4654-afdc-5cfda44f6acb,african_storybook,14934,Dance Contest,200,True,9,13,False,-4,0,1473,1465,198,True,1,9,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14934.txt
3eddf601-5b0a-4cc6-ba06-a5c685cb525b,african_storybook,14951,"Tick-Tock, Tick-Tock...",200,True,9,13,False,-4,0,2265,2238,317,True,1,9,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14951.txt
0e15612a-22ff-4585-9afd-85a4145e7db5,african_storybook,14952,I Know How to Draw!,200,True,9,13,False,-4,0,1766,1754,263,True,1,9,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14952.txt
5d852818-5c04-48af-81c9-9a70c63d4783,african_storybook,14953,Piu...piu...piu,200,True,9,13,False,-4,0,1669,1666,206,True,1,9,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/14953.txt
e8b10dc1-0ff0-4482-9d08-3259d9851d79,african_storybook,15055,Wind,200,True,12,13,False,-1,0,635,632,65,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/15055.txt
