slug,images_total,hw_min,hw_median,hw_max,tall_images,tall_pages,all_tall
a-day-out,14,0.5,0.5,1.0,0,,0
a-trip-to-the-tap,14,0.5,0.5,1.0,0,,0
a-very-busy-day,14,0.5,0.5,1.0,0,,0
aaaaahhh-mmawe,14,0.5,0.5,1.0,0,,0
alexs-super-medicine,14,0.5,0.5,1.0,0,,0
amahle-wants-to-help,14,0.5,0.5,1.0,0,,0
and-also,14,0.5,0.5,1.0,0,,0
ann-nem-oh-nee-finds-adventure,14,0.5,0.5,1.0,0,,0
auntie-bois-gift,14,0.5,0.5,1.0,0,,0
baby-babble,14,0.5,0.5,1.0,0,,0
baby-talk,14,0.5,0.5,1.0,0,,0
babys-first-family-photo,14,0.5,0.5,1.0,0,,0
banzis-busy-bees,14,0.5,0.5,1.0,0,,0
best-friends,14,0.5,0.5,1.0,0,,0
brave-bora,14,0.5,0.5,1.0,0,,0
catch-that-cat,14,0.5,0.5,1.0,0,,0
circles,14,0.5,0.5,1.0,0,,0
clever-pig,14,0.5,0.5,1.0,0,,0
come-stay-with-me,14,0.5,0.5,1.0,0,,0
dance-khuzwayo-dance,14,0.5,0.5,1.0,0,,0
dance-mihlali,14,0.5,0.5,1.0,0,,0
dudus-hat,14,0.5,0.5,1.0,0,,0
egg,14,0.5,0.5,1.0,0,,0
feathered-friends,14,0.5,0.5,1.0,0,,0
fifi-and-teddy,14,0.5,0.5,1.0,0,,0
foxy-joxy-plays-a-trick,14,0.5,0.5,1.0,0,,0
going-places,14,0.5,0.5,1.0,0,,0
grandpa-farouks-garden,14,0.5,0.5,1.0,0,,0
grumpy-cloud,14,0.5,0.5,1.0,0,,0
hello,14,0.5,0.5,1.0,0,,0
hello-baby,14,0.5,0.5,1.0,0,,0
how-do-you-eat,14,0.5,0.5,1.0,0,,0
how-do-you-sleep,14,0.5,0.5,1.0,0,,0
how-do-you-want-your-eggs,14,0.5,0.5,1.0,0,,0
how-to-tame-a-monster,14,0.5,0.5,1.0,0,,0
i-dont-want-to-go-to-sleep,14,0.5,0.5,1.0,0,,0
i-hate-winter,14,0.5,0.5,1.0,0,,0
i-want-to,14,0.5,0.5,1.0,0,,0
im-the-colour-of-honey,14,0.5,0.5,1.0,0,,0
its-my-birthday,14,0.5,0.5,1.0,0,,0
its-my-book,14,0.5,0.5,1.0,0,,0
joannas-grannies,14,0.5,0.5,1.0,0,,0
jock-and-me,14,0.5,0.5,1.0,0,,0
julia-loves-books,14,0.5,0.5,1.0,0,,0
just-like-me,14,0.5,0.5,1.0,0,,0
khaya-wants-to-row,14,0.5,0.5,1.0,0,,0
knight-times,14,0.5,0.5,1.0,0,,0
lebo-and-gogos-tea-party,14,0.5,0.5,1.0,0,,0
lesedis-sandbox,14,0.5,0.5,1.0,0,,0
lets-be-friends,14,0.5,0.5,1.0,0,,0
lets-go-on-a-litter-hunt,14,0.5,0.5,1.0,0,,0
lets-have-an-inside-day,14,0.5,0.5,1.0,0,,0
lets-party,14,0.5,0.5,1.0,0,,0
lions-are-always-brave,14,0.5,0.5,1.0,0,,0
little-goat,14,0.5,0.5,1.0,0,,0
little-shoots,14,0.5,0.5,1.0,0,,0
lonwabos-recipes,14,0.5,0.5,1.0,0,,0
look-out-luthando,14,0.5,0.5,1.0,0,,0
look-up,14,0.5,0.5,1.0,0,,0
malis-friend,14,0.5,0.5,1.0,0,,0
mama-antelopes-house,14,0.5,0.5,1.0,0,,0
mama-whats-for-lunch,14,0.5,0.5,1.0,0,,0
matthew-is-up,14,0.5,0.5,1.0,0,,0
mazi-learns-to-play,14,0.5,0.5,1.0,0,,0
meerkat-magic,14,0.5,0.5,1.0,0,,0
mina-and-the-birthday-dress,14,0.5,0.5,1.0,0,,0
miss-tiny-chef,14,0.5,0.5,1.0,0,,0
moms-hands,14,0.5,0.5,1.0,0,,0
moms-red-coat,14,0.5,0.5,1.0,0,,0
monkey-business,14,0.5,0.5,1.0,0,,0
mud,14,0.5,0.5,1.0,0,,0
my-dream-in-the-drawer,14,0.5,0.5,1.0,0,,0
my-inside-weather,14,0.5,0.5,1.0,0,,0
my-special-blankie,14,0.5,0.5,1.0,0,,0
my-special-hair,14,0.5,0.5,1.0,0,,0
no,14,0.5,0.5,1.0,0,,0
nomvundla-and-the-chilli-eating-contest,14,0.5,0.5,1.0,0,,0
o-rain-come,14,0.5,0.5,1.0,0,,0
open-the-door,14,0.5,0.5,1.0,0,,0
oumas-amazing-flowers,14,0.5,0.5,1.0,0,,0
oyisa-and-the-giant-tree,14,0.5,0.5,1.0,0,,0
pako-the-pigeon-disappears,14,0.5,0.5,1.0,0,,0
palesa-can-walk,14,0.5,0.5,1.0,0,,0
samoosas,14,0.5,0.5,1.0,0,,0
sams-treasures,14,0.5,0.5,1.0,0,,0
scared-tumi,14,0.5,0.5,1.0,0,,0
senzo-and-the-sun,14,0.5,0.5,1.0,0,,0
shaka-and-mazi,14,0.5,0.5,1.0,0,,0
shhhhh,14,0.5,0.5,1.0,0,,0
sing-to-me,14,0.5,0.5,1.0,0,,0
small-birds-big-adventure,14,0.5,0.5,1.0,0,,0
tata-comes-home,14,0.5,0.5,1.0,0,,0
tejus-shadow,14,0.5,0.5,1.0,0,,0
thats-not-thabi-thats-a-hippopotamus,14,0.5,0.5,1.0,0,,0
the-best-gift,14,0.5,0.5,1.0,0,,0
the-best-nest,14,0.5,0.5,1.0,0,,0
the-biscuit-jar-must-fall,14,0.5,0.5,1.0,0,,0
the-bounce,14,0.5,0.5,1.0,0,,0
the-box,14,0.5,0.5,1.0,0,,0
the-boy-who-only-ate-pancakes,14,0.5,0.5,1.0,0,,0
the-cottonwool-doctor,14,0.5,0.5,1.0,0,,0
the-dream-pillow,14,0.5,0.5,1.0,0,,0
the-fish-and-chickens-wedding,14,0.5,0.5,1.0,0,,0
the-fish-that-couldnt-swim,14,0.5,0.5,1.0,0,,0
the-great-cake-contest,14,0.5,0.5,1.0,0,,0
the-great-tidy-up,14,0.5,0.5,1.0,0,,0
the-lazy-ant,14,0.5,0.5,1.0,0,,0
the-lost-laugh,14,0.5,0.5,1.0,0,,0
the-memory-tree,14,0.5,0.5,1.0,0,,0
the-monster-must-go,14,0.5,0.5,1.0,0,,0
the-new-road,14,0.5,0.5,1.0,0,,0
the-one-in-the-middle,14,0.5,0.5,1.0,0,,0
the-pumpkin-chase,14,0.5,0.5,1.0,0,,0
the-rainbow-cloud,14,0.5,0.5,1.0,0,,0
the-sausage-dog,14,0.5,0.5,1.0,0,,0
the-sea,14,0.5,0.5,1.0,0,,0
the-things-that-really-matter,14,0.5,0.5,1.0,0,,0
the-three-doof-doofs,14,0.5,0.5,1.0,0,,0
the-very-tired-lioness,14,0.5,0.5,1.0,0,,0
the-window-seat,14,0.5,0.5,1.0,0,,0
theres-a-fire-on-the-mountain,14,0.5,0.5,1.0,0,,0
theres-an-alien-in-my-house,14,0.5,0.5,1.0,0,,0
thuli-special-and-the-secret,14,0.5,0.5,1.0,0,,0
thulis-tissue,14,0.5,0.5,1.0,0,,0
tigs-world,14,0.5,0.5,1.0,0,,0
tikky-boom-tish,14,0.5,0.5,1.0,0,,0
tlotlegos-tea-party,14,0.5,0.5,1.0,0,,0
tones-big-drop,14,0.5,0.5,1.0,0,,0
tumi-goes-to-the-park,14,0.5,0.5,1.0,0,,0
unathi-and-the-dirty-smelly-beast,14,0.5,0.5,1.0,0,,0
whats-at-the-park,14,0.5,0.5,1.0,0,,0
whats-happened-to-our-water,14,0.5,0.5,1.0,0,,0
whats-in-the-pot,14,0.5,0.5,1.0,0,,0
whats-next,14,0.5,0.5,1.0,0,,0
where-is-lulu,14,0.5,0.5,1.0,0,,0
where-is-thabo,14,0.5,0.5,1.0,0,,0
who-takes-the-train,14,0.5,0.5,1.0,0,,0
who-took-my-shoe,14,0.5,0.5,1.0,0,,0
whos-that-baby,14,0.5,0.5,1.0,0,,0
whose-shoe-is-this,14,0.5,0.5,1.0,0,,0
why-birds-sing-at-dawn,14,0.5,0.5,1.0,0,,0
why-is-there-a-hole-in-the-wall,14,0.5,0.5,1.0,0,,0
why-the-owl-never-sleeps,14,0.5,0.5,1.0,0,,0
wiggle-jiggle,14,0.5,0.5,1.0,0,,0
woof-woof,14,0.5,0.5,1.0,0,,0
yapo-saves-the-day,14,0.5,0.5,1.0,0,,0
yes-you-can,14,0.5,0.5,1.0,0,,0
you-yes-you,14,0.5,0.5,1.0,0,,0
zandi-and-birdy-monster,14,0.5,0.5,1.0,0,,0
zanele-sees-numbers,14,0.5,0.5,1.0,0,,0
zenandes-helping-hands,14,0.5,0.5,1.0,0,,0
zibu-and-zizo,14,0.5,0.5,1.0,0,,0
