slug,images_total,hw_min,hw_median,hw_max,tall_images,tall_pages,all_tall
9c9e55de-fe46-11e5-86aa-5e5517507c66,5,0.5,1.0,1.0,0,,0
9c9e596c-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0168,0,,0
9c9e5f48-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9e6196-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9e62ea-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0477,0,,0
9c9e640c-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0168,0,,0
9c9e6524-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e663c-fe46-11e5-86aa-5e5517507c66,5,0.7853,1.0,1.0,0,,0
9c9e6754-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9e6d12-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0168,0,,0
9c9e6e52-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e6f9c-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e71cc-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0168,0,,0
9c9e72e4-fe46-11e5-86aa-5e5517507c66,5,0.5,1.0,1.0,0,,0
9c9e76ea-fe46-11e5-86aa-5e5517507c66,5,0.5,1.0,1.0,0,,0
9c9e7820-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e7a6e-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e7b9a-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e7cb2-fe46-11e5-86aa-5e5517507c66,5,0.9971,0.9971,1.0,0,,0
9c9e7dca-fe46-11e5-86aa-5e5517507c66,5,0.5,1.0,1.0168,0,,0
9c9e819e-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e83b0-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e8586-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9e86da-fe46-11e5-86aa-5e5517507c66,5,0.5003,0.5003,1.0168,0,,0
9c9e87f2-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9e8c0c-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,0.985,0,,0
9c9e9102-fe46-11e5-86aa-5e5517507c66,5,0.657,1.0,1.0053,0,,0
9c9e9396-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e94e0-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e96ac-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9e9e5e-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9e9fc6-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9ea21e-fe46-11e5-86aa-5e5517507c66,5,0.5,1.0,1.0,0,,0
9c9ea48a-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9ea96c-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9eb2cc-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9eb68c-fe46-11e5-86aa-5e5517507c66,5,1.0,1.0,1.0,0,,0
9c9eb7e0-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9ebdc6-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9ec05a-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f3292-fe46-11e5-86aa-5e5517507c66,5,0.5,0.5,1.0,0,,0
9c9f41f6-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f450c-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f471e-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f485e-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f4976-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f4da4-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
9c9f566e-fe46-11e5-86aa-5e5517507c66,5,0.5,1.0018,1.0253,0,,0
9c9f5790-fe46-11e5-86aa-5e5517507c66,1,1.0,1.0,1.0,0,,0
a-day-out,5,0.5,0.5,1.0,0,,0
a-trip-to-the-tap,5,0.5,0.5,1.0,0,,0
a-very-busy-day,5,0.5,0.5,1.0,0,,0
aaaaahhh-mmawe,5,0.5,0.5,1.0,0,,0
alexs-super-medicine,5,0.5,0.5,1.0,0,,0
amahle-wants-to-help,5,0.5,0.5,1.0,0,,0
and-also,5,0.5,0.5,1.0,0,,0
ann-nem-oh-nee-finds-adventure,5,0.5,0.5,1.0,0,,0
auntie-bois-gift,5,0.5,0.5,1.0,0,,0
baby-babble,5,0.5,0.5,1.0,0,,0
baby-talk,5,0.5,0.5,1.0,0,,0
babys-first-family-photo,5,0.5,0.5,1.0,0,,0
banzis-busy-bees,5,0.5,0.5,1.0,0,,0
best-friends,5,0.5,0.5,1.0,0,,0
brave-bora,5,0.5,0.5,1.0,0,,0
catch-that-cat,5,0.5,0.5,1.0,0,,0
circles,5,0.5,0.5,1.0,0,,0
clever-pig,5,0.5,0.5,1.0,0,,0
come-stay-with-me,5,0.5,0.5,1.0,0,,0
dance-khuzwayo-dance,5,0.5,0.5,1.0,0,,0
dance-mihlali,5,0.5,0.5,1.0,0,,0
dudus-hat,5,0.5,0.5,1.0,0,,0
egg,5,0.5,0.5,1.0,0,,0
feathered-friends,5,0.5,0.5,1.0,0,,0
fifi-and-teddy,5,0.5,0.5,1.0,0,,0
foxy-joxy-plays-a-trick,5,0.5,0.5,1.0,0,,0
going-places,5,0.5,0.5,1.0,0,,0
grandpa-farouks-garden,5,0.5,0.5,1.0,0,,0
grumpy-cloud,5,0.5,0.5,1.0,0,,0
hello,5,0.5,0.5,1.0,0,,0
hello-baby,5,0.5,0.5,1.0,0,,0
how-do-you-eat,5,0.5,0.5,1.0,0,,0
how-do-you-sleep,5,0.5,0.5,1.0,0,,0
how-do-you-want-your-eggs,5,0.5,0.5,1.0,0,,0
how-to-tame-a-monster,5,0.5,0.5,1.0,0,,0
i-dont-want-to-go-to-sleep,5,0.5,0.5,1.0,0,,0
i-hate-winter,5,0.5,0.5,1.0,0,,0
i-want-to,5,0.5,0.5,1.0,0,,0
im-the-colour-of-honey,5,0.5,0.5,1.0,0,,0
its-my-birthday,5,0.5,0.5,1.0,0,,0
its-my-book,5,0.5,0.5,1.0,0,,0
joannas-grannies,5,0.5,0.5,1.0,0,,0
jock-and-me,5,0.5,0.5,1.0,0,,0
julia-loves-books,5,0.5,0.5,1.0,0,,0
just-like-me,5,0.5,0.5,1.0,0,,0
khaya-wants-to-row,5,0.5,0.5,1.0,0,,0
knight-times,5,0.5,0.5,1.0,0,,0
lebo-and-gogos-tea-party,5,0.5,0.5,1.0,0,,0
lesedis-sandbox,5,0.5,0.5,1.0,0,,0
lets-be-friends,5,0.5,0.5,1.0,0,,0
lets-go-on-a-litter-hunt,5,0.5,0.5,1.0,0,,0
lets-have-an-inside-day,5,0.5,0.5,1.0,0,,0
lets-party,5,0.5,0.5,1.0,0,,0
lions-are-always-brave,5,0.5,0.5,1.0,0,,0
little-goat,5,0.5,0.5,1.0,0,,0
little-shoots,5,0.5,0.5,1.0,0,,0
lonwabos-recipes,5,0.5,0.5,1.0,0,,0
look-out-luthando,5,0.5,0.5,1.0,0,,0
look-up,5,0.5,0.5,1.0,0,,0
malis-friend,5,0.5,0.5,1.0,0,,0
mama-antelopes-house,5,0.5,0.5,1.0,0,,0
mama-whats-for-lunch,5,0.5,0.5,1.0,0,,0
matthew-is-up,5,0.5,0.5,1.0,0,,0
mazi-learns-to-play,5,0.5,0.5,1.0,0,,0
meerkat-magic,5,0.5,0.5,1.0,0,,0
mina-and-the-birthday-dress,5,0.5,0.5,1.0,0,,0
miss-tiny-chef,5,0.5,0.5,1.0,0,,0
moms-hands,5,0.5,0.5,1.0,0,,0
moms-red-coat,5,0.5,0.5,1.0,0,,0
monkey-business,5,0.5,0.5,1.0,0,,0
mud,5,0.5,0.5,1.0,0,,0
my-dream-in-the-drawer,5,0.5,0.5,1.0,0,,0
my-inside-weather,5,0.5,0.5,1.0,0,,0
my-special-blankie,5,0.5,0.5,1.0,0,,0
my-special-hair,5,0.5,0.5,1.0,0,,0
no,5,0.5,0.5,1.0,0,,0
nomvundla-and-the-chilli-eating-contest,5,0.5,0.5,1.0,0,,0
o-rain-come,5,0.5,0.5,1.0,0,,0
open-the-door,5,0.5,0.5,1.0,0,,0
oumas-amazing-flowers,5,0.5,0.5,1.0,0,,0
oyisa-and-the-giant-tree,5,0.5,0.5,1.0,0,,0
pako-the-pigeon-disappears,5,0.5,0.5,1.0,0,,0
palesa-can-walk,5,0.5,0.5,1.0,0,,0
samoosas,5,0.5,0.5,1.0,0,,0
sams-treasures,5,0.5,0.5,1.0,0,,0
scared-tumi,5,0.5,0.5,1.0,0,,0
senzo-and-the-sun,5,0.5,0.5,1.0,0,,0
shaka-and-mazi,5,0.5,0.5,1.0,0,,0
shhhhh,5,0.5,0.5,1.0,0,,0
sing-to-me,5,0.5,0.5,1.0,0,,0
small-birds-big-adventure,5,0.5,0.5,1.0,0,,0
tata-comes-home,5,0.5,0.5,1.0,0,,0
tejus-shadow,5,0.5,0.5,1.0,0,,0
thats-not-thabi-thats-a-hippopotamus,5,0.5,0.5,1.0,0,,0
the-best-gift,5,0.5,0.5,1.0,0,,0
the-best-nest,5,0.5,0.5,1.0,0,,0
the-biscuit-jar-must-fall,5,0.5,0.5,1.0,0,,0
the-bounce,5,0.5,0.5,1.0,0,,0
the-box,5,0.5,0.5,1.0,0,,0
the-boy-who-only-ate-pancakes,5,0.5,0.5,1.0,0,,0
the-cottonwool-doctor,5,0.5,0.5,1.0,0,,0
the-dream-pillow,5,0.5,0.5,1.0,0,,0
the-fish-and-chickens-wedding,5,0.5,0.5,1.0,0,,0
the-fish-that-couldnt-swim,5,0.5,0.5,1.0,0,,0
the-great-cake-contest,5,0.5,0.5,1.0,0,,0
the-great-tidy-up,5,0.5,0.5,1.0,0,,0
the-lazy-ant,5,0.5,0.5,1.0,0,,0
the-lost-laugh,5,0.5,0.5,1.0,0,,0
the-memory-tree,5,0.5,0.5,1.0,0,,0
the-monster-must-go,5,0.5,0.5,1.0,0,,0
the-new-road,5,0.5,0.5,1.0,0,,0
the-one-in-the-middle,5,0.5,0.5,1.0,0,,0
the-pumpkin-chase,5,0.5,0.5,1.0,0,,0
the-rainbow-cloud,5,0.5,0.5,1.0,0,,0
the-sausage-dog,5,0.5,0.5,1.0,0,,0
the-sea,5,0.5,0.5,1.0,0,,0
the-things-that-really-matter,5,0.5,0.5,1.0,0,,0
the-three-doof-doofs,5,0.5,0.5,1.0,0,,0
the-very-tired-lioness,5,0.5,0.5,1.0,0,,0
the-window-seat,5,0.5,0.5,1.0,0,,0
theres-a-fire-on-the-mountain,5,0.5,0.5,1.0,0,,0
theres-an-alien-in-my-house,5,0.5,0.5,1.0,0,,0
thuli-special-and-the-secret,5,0.5,0.5,1.0,0,,0
thulis-tissue,5,0.5,0.5,1.0,0,,0
tigs-world,5,0.5,0.5,1.0,0,,0
tikky-boom-tish,5,0.5,0.5,1.0,0,,0
tlotlegos-tea-party,5,0.5,0.5,1.0,0,,0
tones-big-drop,5,0.5,0.5,1.0,0,,0
tumi-goes-to-the-park,5,0.5,0.5,1.0,0,,0
unathi-and-the-dirty-smelly-beast,5,0.5,0.5,1.0,0,,0
